ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes
70,inc-av-070,Waymo,2023-06-05,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_06052023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
71,inc-av-071,Mercedes Benz,2023-06-01,safety failure,"Mercedes Benz filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/mercedes_benz_06012023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
72,inc-av-072,Mercedes Benz,2023-05-30,safety failure,"Mercedes Benz filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/mercedes_benz_05302023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
73,inc-av-073,WeRide,2023-06-08,safety failure,"WeRide filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/weride_06082023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
74,inc-av-074,Pony.ai,2023-06-05,safety failure,"Pony.ai filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/pony_ai_06052023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; filename pattern should be checked during import."
75,inc-av-075,Waymo,2023-05-21,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_05212023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
76,inc-av-076,Cruise,2023-05-21,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_05212023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
77,inc-av-077,Cruise,2023-05-18,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_05182023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
78,inc-av-078,Zoox,2023-05-20,safety failure,"Zoox filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/zoox_05202023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
79,inc-av-079,Zoox,2023-05-17,safety failure,"Zoox filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/zoox_05172023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
80,inc-av-080,Apple,2023-05-11,safety failure,"Apple filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/apple_05112023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
81,inc-av-081,Waymo,2023-05-07,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_05072023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
82,inc-av-082,Waymo,2023-05-06,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_05062023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
83,inc-av-083,Cruise,2023-05-07,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_05072023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
84,inc-av-084,Cruise,2023-05-03,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_05032023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
85,inc-av-085,Waymo,2023-05-03,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_05032023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
86,inc-av-086,Cruise,2023-05-04,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_05042023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
87,inc-av-087,Cruise,2023-05-01,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_05012023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
88,inc-av-088,Waymo,2023-04-30,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_04302023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
89,inc-av-089,Waymo,2023-04-28,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_04282023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
90,inc-av-090,Mercedes Benz,2023-04-26,safety failure,"Mercedes Benz filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving test vehicle.",,"https://www.dmv.ca.gov/portal/file/mercedes_benz_04262023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
91,inc-av-091,WeRide,2023-05-01,safety failure,"WeRide filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/weride_05012023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
92,inc-av-092,Cruise,2023-04-21,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_04212023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
93,inc-av-093,Cruise,2023-04-22,safety failure,"Cruise filed a California autonomous-vehicle collision report for a separate reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_04222023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
94,inc-av-094,Waymo,2023-04-12,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_04122023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
95,inc-av-095,Zoox,2023-04-11,safety failure,"Zoox filed a California autonomous-vehicle collision report for one of two reportable crashes listed on April 11.",,"https://www.dmv.ca.gov/portal/file/zoox_04112023-2-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
96,inc-av-096,Cruise,2023-04-12,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_04122023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
97,inc-av-097,Cruise,2023-04-09,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_04092023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
98,inc-av-098,Zoox,2023-04-11,safety failure,"Zoox filed a California autonomous-vehicle collision report for another reportable crash listed on April 11.",,"https://www.dmv.ca.gov/portal/file/zoox_04112023-1-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
99,inc-av-099,Waymo,2023-04-06,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_04062023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
100,inc-av-100,Waymo,2023-04-05,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_04052023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
101,inc-av-101,Waymo,2023-04-03,safety failure,"Waymo filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/waymo_04032023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
102,inc-av-102,Cruise,2023-03-22,safety failure,"Cruise filed a California autonomous-vehicle collision report for one of three reportable crashes listed on March 22.",,"https://www.dmv.ca.gov/portal/file/cruise_03222023-1-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
103,inc-av-103,Cruise,2023-03-22,safety failure,"Cruise filed a California autonomous-vehicle collision report for a second reportable crash listed on March 22.",,"https://www.dmv.ca.gov/portal/file/cruise_03222023-2-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
104,inc-av-104,Cruise,2023-03-22,safety failure,"Cruise filed a California autonomous-vehicle collision report for a third reportable crash listed on March 22.",,"https://www.dmv.ca.gov/portal/file/cruise_03222023-3-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
105,inc-av-105,Cruise,2023-03-21,safety failure,"Cruise filed a California autonomous-vehicle collision report for one of two reportable crashes listed on March 21.",,"https://www.dmv.ca.gov/portal/file/cruise_03212023-2-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
106,inc-av-106,Cruise,2023-03-23,safety failure,"Cruise filed a California autonomous-vehicle collision report for a reportable crash involving an automated driving vehicle.",,"https://www.dmv.ca.gov/portal/file/cruise_03232023-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",ACCEPT,medium,"DMV collision report + NHTSA ADS archive."
107,inc-av-107,Cruise,2023-03-21,safety failure,"Cruise filed a California autonomous-vehicle collision report for another reportable crash listed on March 21.",,"https://www.dmv.ca.gov/portal/file/cruise_03212023-1-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
108,inc-av-108,Waymo,2023-03-20,safety failure,"Waymo filed a California autonomous-vehicle collision report for one of two reportable crashes listed on March 20.",,"https://www.dmv.ca.gov/portal/file/waymo_03202023-1-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
109,inc-av-109,Waymo,2023-03-20,safety failure,"Waymo filed a California autonomous-vehicle collision report for a second reportable crash listed on March 20.",,"https://www.dmv.ca.gov/portal/file/waymo_03202023-2-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
110,inc-av-110,Waymo,2023-03-16,safety failure,"Waymo filed a California autonomous-vehicle collision report for one of two reportable crashes listed on March 16.",,"https://www.dmv.ca.gov/portal/file/waymo_03162023-1-pdf/ | https://static.nhtsa.gov/odi/ffdd/sgo-2021-01/Archive-2021-2025/SGO-2021-01_Incident_Reports_ADS.csv",REVIEW,medium,"DMV collision report + NHTSA ADS archive; duplicate-day suffix should be checked."
111,inc-safety-cruise-drag,Cruise,2023-10-02,safety failure,"A driverless Cruise vehicle in San Francisco struck and dragged a pedestrian after a prior human-driven crash, prompting federal reporting enforcement.",,"https://www.nhtsa.gov/press-releases/consent-order-cruise-crash-reporting | https://www.nhtsa.gov/document/consent-order-cruise-standing-general-order-reporting",ACCEPT,high,"NHTSA press release + consent order; incident date is the crash date."
112,inc-privacy-openai-chatgpt,OpenAI,2023-03-20,privacy,"A ChatGPT outage caused some users to see other users' chat titles and exposed limited payment information for some active Plus subscribers.",,"https://openai.com/research/march-20-chatgpt-outage/ | https://status.openai.com/incidents/01JMYB7405F905CH9TAQNNH1SP",ACCEPT,high,"Company postmortem + status incident."
113,inc-privacy-garante-chatgpt,OpenAI,2023-03-31,privacy,"Italy's data protection authority ordered temporary limits on ChatGPT processing after finding privacy-law concerns with the service.",,"https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832 | https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9881490",ACCEPT,high,"Regulator order + regulator follow-up."
114,inc-fr-riteaid-ftc,Rite Aid,2023-12-19,facial recognition,"The FTC charged Rite Aid over AI facial recognition surveillance that allegedly generated false shoplifting matches and harmed customers.",,"https://www.ftc.gov/news-events/news/press-releases/2023/12/rite-aid-banned-using-ai-facial-recognition-after-ftc-says-retailer-deployed-technology-without | https://www.ftc.gov/legal-library/browse/cases-proceedings/2023190-rite-aid-corporation-ftc-v",ACCEPT,high,"FTC press release + FTC case page with complaint and order."
115,inc-hiring-itutorgroup,iTutorGroup,2023-08-09,algorithmic bias,"iTutorGroup settled EEOC claims that its hiring software automatically rejected older tutor applicants.",,"https://www.eeoc.gov/newsroom/eeoc-sues-itutorgroup-age-discrimination | https://dockets.justia.com/docket/new-york/nyedce/1:2022cv02565/479984",ACCEPT,medium,"EEOC filing statement + federal docket; incident anchored to 2023 settlement development."
116,inc-health-unitedhealth-nhpredict,UnitedHealthcare,2023-11-14,automated adjudication,"A class action alleged UnitedHealthcare and naviHealth used the nH Predict algorithm to deny post-acute care coverage to Medicare Advantage patients.",,"https://cdn.arstechnica.net/wp-content/uploads/2023/11/class-action-v-unitedhealth-and-navihealth-1.pdf | https://dockets.justia.com/docket/minnesota/mndce/0:2023cv03514/211721",ACCEPT,medium,"Court complaint + federal docket; allegations contested."
117,inc-health-cigna-pxdx,Cigna,2023-07-24,automated adjudication,"A class action alleged Cigna used the PxDx system to deny health claims in bulk without individualized medical review.",,"https://dockets.justia.com/docket/california/caedce/2:2023cv01477/431351 | https://litigationtracker.law.georgetown.edu/wp-content/uploads/2023/08/Kisting-Leung_2023.10.16_FIRST-AMENDED-COMPLAINT.pdf",REVIEW,medium,"Federal docket + amended complaint; Cigna disputes AI characterization."
118,inc-misinfo-pentagon-image,Unknown,2023-05-22,synthetic media,"An apparently AI-generated fake image of an explosion near the Pentagon spread online and briefly affected market sentiment before officials debunked it.",,"https://twitter.com/ArlingtonVaFD/status/1660649465529835521 | https://factcheck.afp.com/doc.afp.com.33FV4BU",ACCEPT,medium,"Official emergency statement + original fact-check with primary verification; creator unknown."
119,inc-csam-laion5b,LAION,2023-12-19,data leakage,"Stanford researchers reported that LAION-5B contained links to suspected or confirmed child sexual abuse material used in AI training-data pipelines.",,"https://stacks.stanford.edu/file/druid:kh752sm9123/ml_training_data_csam_report-2023-12-23.pdf | https://laion.ai/blog/relaion-5b/",ACCEPT,high,"Stanford report + LAION response; date follows LAION's stated notification date."
120,inc-legal-mata-avianca,OpenAI,2023-06-22,legal hallucination,"Attorneys in Mata v. Avianca were sanctioned after submitting fake case citations generated by ChatGPT in federal court filings.",,"https://law.justia.com/cases/federal/district-courts/new-york/nysdce/1:2022cv01461/575368/54/ | https://dockets.justia.com/docket/new-york/nysdce/1:2022cv01461/575368",ACCEPT,high,"Sanctions opinion + docket; incident date is sanction order date."
